VariableID;VariableName;UnitsAbbreviation;ALT;NEU;STR;EFH;GEW;ANDERE
5;Biologischer Sauerstoffbedarf;mg/L;44.57142857;14.34258181;11.35274196;15;11.21875;19.29710047
6;Chemischer Sauerstoffbedarf;mg/L;123.1709375;88.94346154;244.0333333;89.57857143;79.43890134;125.033041
7;Orthophosphat;mg/L;0.104047619;0.038;0.044;0.196;0.052577129;0.08692495
8;Gesamt-Phosphor;mg/L;0.551428571;0.315;0.812941176;0.558888889;0.270853659;0.501822459
9;Abfiltrierbare Stoffe;mg/L;85.92171429;68.09866667;368.2777778;107.2;98.26585366;145.5528025
15;Blei;ug/L;41.85393939;13.85454545;52.65;27.94;137.9331383;54.84632464
16;Cadmium;ug/L;0.2405625;0.280708044;0.61;0.252342907;1.315452769;0.539813244
17;Chrom;ug/L;4.065074344;3.03303876;29.65294118;5.4625;8.425050798;10.12772102
18;Kupfer;ug/L;55.55771429;76.763;188.2777778;104.3333333;645.1634146;214.019048
19;Nickel;ug/L;3.634705882;3.876470588;14.73125;5.5;9.52875;7.454235294
20;Titan;ug/L;34.83771429;27.46986667;179.2777778;37.8;43.91585366;64.66024248
21;Vanadium;ug/L;3.121764706;4.503600767;15.99285714;4.52;3.972467145;6.422137952
22;Zink;ug/L;1000.131429;142.3319506;573.8888889;258.8888889;1978.529756;790.7541826
23;Koffein;ug/L;1.295048174;0.696842105;1.096428571;0.809230769;1.486363636;1.076782651
24;Carbamazepin;ug/L;0;0;0.012857143;0;0;0.002571429
25;Acesulfam;ug/L;0.46;0.10952381;0.117142857;0.302857143;0.270454545;0.251995671
26;Formylaminoantipyrin;ug/L;0.046350028;0.010588235;0;0.112142857;0;0.033816224
27;Gabapentin;ug/L;0.019772727;0.01625;0.019375;0;0.041818182;0.019443182
28;Tri-n-butyl- + Tri-iso-butylphosphat (TBP);ug/L;0.107296427;0.161095489;0.104230769;0.055714286;0.0881064;0.103288674
29;Tris(2-chlorethyl)phosphat (TCEP);ug/L;0.087608696;0.068425063;0.1;0.052142857;0.088571429;0.079349609
30;Tris(2-chlor-1-methylethyl)phosphat (TCPP);ug/L;0.468947368;0.607623499;0.29;0.170833333;0.563157895;0.420112419
31;Tris(1,3-dichlorisopropyl)phosphat (TDCP);ug/L;0.063333333;0;0;0.074166667;0;0.0275
32;Tris(2-butoxyethyl) phosphat (TBEP);ug/L;2.209;1.111301985;0.263290969;0.19;2.894736842;1.333665959
33;Benzylbutylphthalat;ug/L;0;0;0;0.170769231;0.273809524;0.088915751
34;Dibutylphthalat;ug/L;0.356521739;0;0.32;0.326923077;0;0.200688963
35;Diethylphthalat;ug/L;0.186956522;0;0.182857143;0.180769231;0;0.110116579
36;Dimethylphthalat;ug/L;0.164130435;0;0;0;0;0.032826087
37;Dioctylphthalat;ug/L;0.260869565;0;0.490992857;0.315384615;0.562936562;0.32603672
38;Diethylhexylphthalat (DEHP);ug/L;1.385217391;0.742857143;4.524275182;0.748461538;2.177142857;1.915590822
39;Di-iso-decylphthalat + Di-iso-nonylphthalat;ug/L;5.695909091;3.094736842;19.33096573;3.633076923;31.54447867;12.65983345
40;Carbendazim;ug/L;0.416880598;0.017643162;0.02798812;0.124285714;0.047727273;0.126904973
41;Cybutryn;ug/L;0.010869565;0;0;0.010714286;0.010454545;0.006407679
42;Diazinon;ug/L;0.011304348;0.01047619;0.011428571;0.010714286;0.011818182;0.011148315
43;Diuron;ug/L;0.197826087;0;0.0575;0.089285714;0.025909091;0.074104178
44;Tebuconazol;ug/L;0.025652174;0.011428571;0.013571429;0.012857143;0.010909091;0.014883682
45;2,4-Dichlorphenoxyessigsäure (2,4-D);ug/L;0;0.013333333;0;0.026428571;0.010454545;0.01004329
47;Glyphosat;ug/L;0.582147691;0.044980692;0.196428571;0.195276191;0.404545455;0.28467572
48;AMPA;ug/L;0.131818182;0.052380952;0.062142857;0.11;0.198636364;0.110995671
49;Isoproturon;ug/L;0.016521739;0.016428571;0.0225;0.044642857;0;0.020018634
50;Mecoprop;ug/L;1.007826087;0.622380952;0;0.350714286;0.269026441;0.449989553
51;Terbuthylazin;ug/L;0.061196053;0.059582857;0.080114436;0.067795489;0.05648217;0.065034201
52;Terbutryn;ug/L;0.092173913;0.011190476;0.012527519;0.1075;0.037497735;0.052177929
54;Diethyltoluamid (DEET);ug/L;0.036315789;0.026875;0.033846154;0.027272727;0.032666667;0.031395267
