substance_id;Unit;threshold;threshold_type;Source
2;ug/L;0.7;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
8;ug/L;0.9;acute;OGewV 2016, Anlage 8, Tabelle 2, Wasserhärte 4, ZHK-UQN
9;ug/L;0.7;acute;OGewV 2016, Anlage 6, ZHK-UQN
10;ug/L;1.3;acute;OGewV 2016, Anlage 8, Tabelle 2, JD-UQN
15;ug/L;0.1;acute;OGewV 2016, Anlage 6, JD-UQN
19;ug/L;0.5;acute;OGewV 2016, Anlage 6, ZHK-UQN
11;ug/L;1.8;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
12;ug/L;0.12;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
7;ug/L;14;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
16;ug/L;130;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
17;ug/L;34;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
3;ug/L;0.27;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
4;ug/L;0.017;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
6;ug/L;0.017;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
5;ug/L;0.0082;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
20;ug/L;0.34;acute;OGewV 2016, Anlage 8, Tabelle 2, ZHK-UQN
21;ug/L;33;acute;UQN-Vorschläge des UBA (Wenzel et al. 2015)
14;ug/L;2.4;acute;UQN-Vorschläge des UBA (Wenzel et al. 2015)
1;mg/L;30;annual;DWA A102, Abschnitt 3, Kap. 7.5.1.3
